Ticker;Publico Alvo;Tipo de FII;Administrador;Ultimo Rend. (R$);Ultimo Rend. (%);Data Pagamento;Data Base;Rend. Med. 12m (R$);Rend. Med. 12m (%);Patrimonio/Cota;Cotacao/VP;Nº negocios/mes;Partic. IFIX;Numero Cotistas;Patrimonio;Cota base
HBRH11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,69;0,71;15/10/2020;30/09/2020;0,46;0,47;98,48;0,99;1.993;0;367;221.155.287,80;97,3
HBTT11;Geral;Papel: CRIs;Vórtx DTVM LTDA;9;0,86;15/09/2020;31/08/2020;10,42;0,99;886,32;1,19;132;0;242;159.726.645,53;1.051,50
HCRI11;Geral;Tijolo: Hospital;BTG Pactual;2,6;0,57;20/10/2020;13/10/2020;2,61;0,58;291,89;1,56;618;0;3.189;58.378.202,34;454,52
HCTR11;Geral;Papel: CRIs;Vórtx DTVM LTDA;2,25;1,72;16/10/2020;08/10/2020;1,42;1,09;116,75;1,12;37.869;0,7;30.769;325.622.091,02;130,7
HFOF11;Geral;Papel: Fundo de Fundos;Hedge Investments DTVM LTDA;0,5;0,47;15/10/2020;30/09/2020;0,77;0,72;100,58;1,06;53.374;2,81;58.055;1.900.249.624,33;106,5
HGBS11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,3;0,14;15/10/2020;30/09/2020;0,81;0,38;227,4;0,93;30.889;2,64;75.973;2.274.049.597,06;211,25
HGCR11;Geral;Papel: CRIs;Credit Suisse Hedging-Griffo;0,48;0,47;15/10/2020;30/09/2020;0,57;0,55;104,88;0,98;43.420;1,56;60.463;1.297.647.988,18;103,19
HGFF11;Geral;Papel: Fundo de Fundos;Credit Suisse Hedging-Griffo;0,55;0,55;15/10/2020;30/09/2020;0,58;0,58;99,37;1;7.635;0,34;6.942;284.546.247,25;99,75
HGLG11;Geral;Tijolo: Galpões;Credit Suisse Hedging-Griffo;0,6;0,35;15/10/2020;30/09/2020;0,77;0,45;140,55;1,21;153.522;3,91;244.915;2.591.310.695,92;169,99
HGPO11;Geral;Tijolo: Escritórios;Credit Suisse Hedging-Griffo;0,94;0,42;15/10/2020;30/09/2020;0,9;0,4;203,73;1,1;4.064;0,47;8.988;336.160.918,03;224,44
HGRE11;Geral;Tijolo: Escritórios;Credit Suisse Hedging-Griffo;0,65;0,43;15/10/2020;30/09/2020;0,7;0,46;163,98;0,91;57.969;2,31;96.058;1.772.978.435,44;150
HGRU11;Geral;Tijolo: Educacional;Credit Suisse Hedging-Griffo;0,68;0,53;15/10/2020;30/09/2020;0,69;0,53;107,78;1,19;74.415;2,77;73.999;1.350.866.710,08;128,1
HLOG11;Geral;Tijolo: Galpões;Hedge Investments DTVM LTDA;0,63;0,53;15/10/2020;30/09/2020;0,61;0,52;112,62;1,05;468;0;471;190.324.003,48;118
HMOC11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,5;0,22;15/10/2020;30/09/2020;0,75;0,33;232,08;0,99;160;0;229;88.659.684,89;229
